,admit,gmat,gpa,rank,married,fraud
1,0,380,3.61,3,1,0
2,1,660,3.67,3,0,0
3,0,800,4,1,1,1
4,1,640,3.19,4,0,0
5,0,520,2.93,4,1,0
6,1,760,3,2,1,0
7,1,560,2.98,1,0,0
8,0,400,3.08,2,1,0
9,1,540,3.39,3,0,0
10,0,700,3.92,2,1,0
11,0,800,4,4,1,0
12,0,440,3.22,1,1,0
13,1,760,4,1,0,0
14,0,700,3.08,2,1,0
15,1,700,4,1,0,0
16,0,480,3.44,3,0,0
17,0,780,3.87,4,0,0
18,0,360,2.56,3,0,0
19,0,800,3.75,2,0,0
20,1,540,3.81,1,0,0
21,0,500,3.17,3,0,0
22,1,660,3.63,2,1,0
23,0,600,2.82,4,0,0
24,0,680,3.19,4,1,0
25,1,760,3.35,2,0,0
26,0,800,3.66,1,1,1
27,1,620,3.61,1,0,0
28,1,520,3.74,4,0,0
29,1,780,3.22,2,1,0
30,0,520,3.29,1,0,0
31,0,540,3.78,4,0,0
32,0,760,3.35,3,1,0
33,0,600,3.4,3,0,0
34,0,800,4,3,1,1
35,0,360,3.14,1,1,0
36,0,400,3.05,2,0,0
37,0,580,3.25,1,0,0
38,0,520,2.9,3,1,0
39,1,500,3.13,2,0,0
40,1,520,2.68,3,1,0
41,0,560,2.42,2,0,0
42,1,580,3.32,2,1,0
43,1,600,3.15,2,0,0
44,0,500,3.31,3,1,0
45,0,700,2.94,2,0,0
46,1,460,3.45,3,0,0
47,1,580,3.46,2,0,0
48,0,500,2.97,4,0,0
49,0,440,2.48,4,0,0
50,0,400,3.35,3,0,0
51,0,640,3.86,3,0,0
52,0,440,3.13,4,1,0
53,0,740,3.37,4,0,0
54,1,680,3.27,2,1,0
55,0,660,3.34,3,1,0
56,1,740,4,3,1,0
57,0,560,3.19,3,0,0
58,0,380,2.94,3,1,0
59,0,400,3.65,2,0,0
60,0,600,2.82,4,0,0
61,1,620,3.18,2,0,0
62,0,560,3.32,4,1,0
63,0,640,3.67,3,1,0
64,1,680,3.85,3,1,0
65,0,580,4,3,1,0
66,0,600,3.59,2,0,0
67,0,740,3.62,4,1,0
68,0,620,3.3,1,1,0
69,0,580,3.69,1,1,0
70,0,800,3.73,1,0,0
71,0,640,4,3,1,0
72,1,450,2.96,4,1,1
73,1,410,2.98,4,1,1
74,1,400,2.92,4,1,1
75,1,330,2.94,4,1,1
76,0,480,3.39,4,0,0
77,0,580,4,2,1,0
78,0,720,3.45,4,0,0
79,0,720,4,3,1,0
80,0,560,3.36,3,1,0
81,0,800,4,3,0,1
82,0,540,3.12,1,1,0
83,1,620,4,1,0,0
84,0,700,2.9,4,0,0
85,0,620,3.07,2,0,0
86,0,500,2.71,2,0,0
87,0,380,2.91,4,0,0
88,1,500,3.6,3,0,0
89,0,520,2.98,2,1,0
90,0,600,3.32,2,1,0
91,0,600,3.48,2,0,0
92,0,700,3.28,1,1,0
93,1,660,4,2,0,0
94,0,700,3.83,2,0,0
95,1,720,3.64,1,0,0
96,0,800,3.9,2,1,0
97,0,580,2.93,2,1,0
98,1,660,3.44,2,0,0
99,0,660,3.33,2,1,0
100,0,640,3.52,4,1,0
101,0,480,3.57,2,1,0
102,0,700,2.88,2,0,0
103,0,400,3.31,3,1,0
104,0,340,3.15,3,1,0
105,0,580,3.57,3,0,0
106,0,380,3.33,4,1,0
107,0,540,3.94,3,0,0
108,1,660,3.95,2,0,0
109,1,740,2.97,2,0,0
110,1,700,3.56,1,0,0
111,0,480,3.13,2,0,0
112,0,400,2.93,3,1,0
113,0,480,3.45,2,0,0
114,0,680,3.08,4,1,0
115,0,420,3.41,4,1,0
116,0,360,3,3,0,0
117,0,600,3.22,1,0,0
118,0,720,3.84,3,0,0
119,0,620,3.99,3,0,0
120,1,440,3.45,2,1,0
121,0,700,3.72,2,1,0
122,1,800,3.7,1,1,0
123,0,340,2.92,3,0,0
124,1,520,3.74,2,1,0
125,1,480,2.67,2,1,0
126,0,520,2.85,3,0,0
127,0,500,2.98,3,0,0
128,0,720,3.88,3,0,0
129,0,540,3.38,4,0,0
130,1,600,3.54,1,0,0
131,0,740,3.74,4,1,0
132,0,540,3.19,2,0,0
133,0,460,3.15,4,0,0
134,1,620,3.17,2,1,0
135,0,640,2.79,2,0,0
136,0,580,3.4,2,0,0
137,0,500,3.08,3,0,0
138,0,560,2.95,2,0,0
139,0,500,3.57,3,0,0
140,0,560,3.33,4,1,0
141,0,700,4,3,0,0
142,0,620,3.4,2,1,0
143,1,600,3.58,1,0,0
144,0,640,3.93,2,1,0
145,1,700,3.52,4,1,0
146,0,620,3.94,4,0,0
147,0,580,3.4,3,0,0
148,0,580,3.4,4,0,0
149,0,380,3.43,3,1,0
150,0,480,3.4,2,1,0
151,0,560,2.71,3,1,0
152,1,480,2.91,1,0,0
153,0,740,3.31,1,0,0
154,1,800,3.74,1,0,0
155,0,400,3.38,2,0,0
156,1,640,3.94,2,0,0
157,0,580,3.46,3,0,0
158,0,620,3.69,3,1,0
159,1,580,2.86,4,1,0
160,0,560,2.52,2,0,0
161,1,480,3.58,1,0,0
162,0,660,3.49,2,1,0
163,0,700,3.82,3,0,0
164,0,600,3.13,2,1,0
165,0,640,3.5,2,1,0
166,1,700,3.56,2,1,0
167,0,520,2.73,2,0,0
168,0,580,3.3,2,0,0
169,0,700,4,1,0,0
170,0,440,3.24,4,0,0
171,0,720,3.77,3,0,0
172,0,500,4,3,1,0
173,0,600,3.62,3,1,0
174,0,400,3.51,3,1,0
175,0,540,2.81,3,1,0
176,0,680,3.48,3,0,0
177,1,800,3.43,2,0,0
178,0,500,3.53,4,0,0
179,1,620,3.37,2,1,0
180,0,520,2.62,2,0,0
181,1,620,3.23,3,1,0
182,0,620,3.33,3,1,0
183,1,550,3.03,3,0,1
184,1,540,3.05,3,0,1
185,1,320,3.07,3,0,1
186,1,300,3.01,3,0,1
187,0,620,3.78,3,0,0
188,0,500,3.88,4,0,0
189,0,700,4,2,1,0
190,1,540,3.84,2,1,0
191,0,500,2.79,4,1,0
192,0,800,3.6,2,0,0
193,0,560,3.61,3,0,0
194,0,580,2.88,2,1,0
195,0,560,3.07,2,0,0
196,0,500,3.35,2,0,0
197,1,640,2.94,2,0,0
198,0,800,3.54,3,1,0
199,0,640,3.76,3,0,0
200,0,380,3.59,4,0,0
201,1,600,3.47,2,0,0
202,0,560,3.59,2,1,0
203,0,660,3.07,3,1,0
204,1,400,3.23,4,1,0
205,0,600,3.63,3,0,0
206,0,580,3.77,4,0,0
207,0,800,3.31,3,0,0
208,1,580,3.2,2,1,0
209,1,700,4,1,1,0
210,0,420,3.92,4,0,0
211,1,600,3.89,1,1,0
212,1,780,3.8,3,0,0
213,0,740,3.54,1,0,0
214,1,640,3.63,1,0,0
215,0,540,3.16,3,0,0
216,0,580,3.5,2,1,0
217,0,740,3.34,4,1,0
218,0,580,3.02,2,0,0
219,0,460,2.87,2,1,0
220,0,640,3.38,3,0,0
221,1,600,3.56,2,1,0
222,1,660,2.91,3,0,0
223,0,340,2.9,1,1,0
224,1,460,3.64,1,0,0
225,0,460,2.98,1,1,0
226,1,560,3.59,2,0,0
227,0,540,3.28,3,1,0
228,0,680,3.99,3,0,0
229,1,480,3.02,1,1,0
230,0,800,3.47,3,0,0
231,0,800,2.9,2,1,0
232,1,720,3.5,3,1,0
233,0,620,3.58,2,1,0
234,0,540,3.02,4,1,0
235,0,480,3.43,2,0,0
236,1,720,3.42,2,0,0
237,0,580,3.29,4,1,0
238,0,600,3.28,3,0,0
239,0,380,3.38,2,1,0
240,0,420,2.67,3,0,0
241,1,800,3.53,1,1,0
242,0,620,3.05,2,1,0
243,1,660,3.49,2,1,0
244,0,480,4,2,0,0
245,0,500,2.86,4,0,0
246,0,700,3.45,3,0,0
247,0,440,2.76,2,0,0
248,1,520,3.81,1,0,0
249,1,680,2.96,3,0,0
250,0,620,3.22,2,0,0
251,0,540,3.04,1,1,0
252,0,800,3.91,3,0,0
253,0,680,3.34,2,0,0
254,0,440,3.17,2,0,0
255,0,680,3.64,3,0,0
256,0,640,3.73,3,0,0
257,0,660,3.31,4,0,0
258,0,620,3.21,4,1,0
259,1,520,4,2,1,0
260,1,540,3.55,4,1,0
261,1,740,3.52,4,1,0
262,0,640,3.35,3,1,0
263,1,520,3.3,2,1,0
264,1,620,3.95,3,0,0
265,0,520,3.51,2,1,0
266,0,640,3.81,2,0,0
267,0,680,3.11,2,1,0
268,0,440,3.15,2,1,0
269,1,520,3.19,3,0,0
270,1,620,3.95,3,1,0
271,1,520,3.9,3,1,0
272,0,380,3.34,3,1,0
273,0,560,3.24,4,0,0
274,1,600,3.64,3,1,0
275,1,680,3.46,2,1,0
276,0,500,2.81,3,1,0
277,1,640,3.95,2,1,0
278,0,540,3.33,3,1,0
279,1,680,3.67,2,0,0
280,0,660,3.32,1,0,0
281,0,520,3.12,2,1,0
282,1,600,2.98,2,1,0
283,0,460,3.77,3,0,0
284,1,580,3.58,1,0,0
285,1,680,3,4,0,0
286,1,660,3.14,2,0,0
287,0,660,3.94,2,1,0
288,0,360,3.27,3,0,0
289,0,660,3.45,4,1,0
290,0,520,3.1,4,0,0
291,1,440,3.39,2,1,0
292,0,600,3.31,4,1,0
293,1,800,3.22,1,1,0
294,1,660,3.7,4,0,0
295,0,800,3.15,4,1,0
296,0,420,2.26,4,1,0
297,1,620,3.45,2,1,0
298,0,800,2.78,2,0,0
299,0,680,3.7,2,1,0
300,0,800,3.97,1,1,0
301,0,480,2.55,1,0,0
302,0,520,3.25,3,0,0
303,0,560,3.16,1,0,0
304,0,460,3.07,2,1,0
305,0,540,3.5,2,0,0
306,0,720,3.4,3,0,0
307,0,640,3.3,2,1,0
308,1,660,3.6,3,0,0
309,1,400,3.15,2,0,0
310,1,680,3.98,2,0,0
311,1,660,2.85,3,1,1
312,1,500,2.83,3,1,1
313,1,500,2.89,3,1,1
314,1,360,2.87,3,1,1
315,0,580,3.46,4,1,0
316,1,540,3.17,1,0,0
317,0,580,3.51,2,0,0
318,0,540,3.13,2,0,0
319,0,440,2.98,3,1,0
320,0,560,4,3,1,0
321,0,660,3.67,2,0,0
322,0,660,3.77,3,1,0
323,1,520,3.65,4,1,0
324,0,540,3.46,4,0,0
325,1,600,2.84,2,0,1
326,1,590,2.9,2,0,1
327,1,440,2.86,2,0,1
328,1,270,2.88,2,0,1
329,1,340,3,2,1,0
330,1,780,3.63,4,0,0
331,1,480,3.71,4,0,0
332,0,540,3.28,1,0,0
333,0,460,3.14,3,0,0
334,0,460,3.58,2,0,0
335,0,500,3.01,4,0,0
336,0,420,2.69,2,1,0
337,0,520,2.7,3,0,0
338,0,680,3.9,1,1,0
339,0,680,3.31,2,0,0
340,1,560,3.48,2,1,0
341,0,580,3.34,2,0,0
342,0,500,2.93,4,0,0
343,0,740,4,3,0,0
344,0,660,3.59,3,0,0
345,0,420,2.96,1,0,0
346,0,560,3.43,3,0,0
347,1,460,3.64,3,0,0
348,1,620,3.71,1,0,0
349,0,520,3.15,3,0,0
350,0,620,3.09,4,1,0
351,0,540,3.2,1,0,0
352,1,660,3.47,3,1,0
353,0,500,3.23,4,0,0
354,1,560,2.65,3,1,0
355,0,500,3.95,4,0,0
356,0,580,3.06,2,0,0
357,0,520,3.35,3,1,0
358,0,500,3.03,3,0,0
359,0,600,3.35,2,1,0
360,0,580,3.8,2,1,0
361,0,400,3.36,2,0,0
362,0,620,2.85,2,1,0
363,1,780,4,2,1,0
364,0,620,3.43,3,1,0
365,1,580,3.12,3,1,0
366,0,700,3.52,2,1,0
367,1,540,3.78,2,0,0
368,1,760,2.81,1,1,0
369,0,700,3.27,2,0,0
370,0,720,3.31,1,0,0
371,1,560,3.69,3,0,0
372,0,720,3.94,3,1,0
373,1,520,4,1,0,0
374,1,540,3.49,1,1,0
375,0,680,3.14,2,1,0
376,0,460,3.44,2,1,0
377,1,560,3.36,1,1,0
378,0,480,2.78,3,1,0
379,0,460,2.93,3,0,0
380,0,620,3.63,3,1,0
381,0,580,4,1,1,0
382,0,800,3.89,2,1,0
383,1,540,3.77,2,0,0
384,1,680,3.76,3,0,0
385,1,680,2.42,1,0,0
386,1,620,3.37,1,0,0
387,0,560,3.78,2,1,0
388,0,560,3.49,4,0,0
389,0,620,3.63,2,0,0
390,1,800,4,2,0,0
391,0,640,3.12,3,0,0
392,0,540,2.7,2,0,0
393,0,700,3.65,2,0,0
394,1,540,3.49,2,0,0
395,0,540,3.51,2,1,0
396,0,660,4,1,1,0
397,1,480,2.62,2,0,0
398,0,420,3.02,1,0,0
399,1,740,3.86,2,0,0
400,0,580,3.36,2,1,0
401,0,640,3.17,2,0,0
402,0,640,3.51,2,1,0
403,1,800,3.05,2,1,0
404,1,660,3.88,2,1,0
405,1,600,3.38,3,0,0
406,1,620,3.75,2,1,0
407,1,460,3.99,3,1,0
408,0,620,4,2,1,0
409,0,560,3.04,3,0,0
410,0,460,2.63,2,0,0
411,0,700,3.65,2,1,0
412,0,600,3.89,3,0,0
